customer_id,first_name,last_name,full_name,email,signup_date,country,city,gender,age_group,segment
1,Sam,Miller,Sam Miller,customer_1@example.com,2022-03-11,Colombia,Barranquilla,Other,55+,Active
2,Jordan,Martinez,Jordan Martinez,customer_2@example.com,2022-01-20,Brazil,Brasilia,Female,35-44,Active
3,Jordan,Lopez,Jordan Lopez,customer_3@example.com,2023-02-09,Spain,Barcelona,Female,45-54,VIP
4,Taylor,Smith,Taylor Smith,customer_4@example.com,2022-04-29,Colombia,Bogotá,Other,45-54,New
5,Jamie,Johnson,Jamie Johnson,customer_5@example.com,2022-02-24,USA,New York,Female,25-34,Active
6,Morgan,Martinez,Morgan Martinez,customer_6@example.com,2022-03-01,Mexico,Monterrey,Other,18-24,Churn Risk
7,Jamie,Brown,Jamie Brown,customer_7@example.com,2022-03-17,USA,Miami,Female,25-34,Active
8,Taylor,Miller,Taylor Miller,customer_8@example.com,2022-01-19,Spain,Valencia,Male,45-54,Active
9,Alex,Johnson,Alex Johnson,customer_9@example.com,2023-09-20,Colombia,Cali,Male,35-44,VIP
10,Sam,Smith,Sam Smith,customer_10@example.com,2022-04-28,USA,Los Angeles,Male,18-24,New
11,Sam,Davis,Sam Davis,customer_11@example.com,2023-12-11,Brazil,Brasilia,Other,45-54,Churn Risk
12,Jamie,Brown,Jamie Brown,customer_12@example.com,2023-05-20,Colombia,Medellín,Male,25-34,Active
13,Sam,Smith,Sam Smith,customer_13@example.com,2022-09-11,USA,New York,Female,55+,Active
15,Jordan,Garcia,Jordan Garcia,customer_15@example.com,2023-03-02,Colombia,Cali,Other,25-34,Churn Risk
16,Jamie,Brown,Jamie Brown,customer_16@example.com,2022-02-18,Spain,Madrid,Male,25-34,VIP
17,Chris,Martinez,Chris Martinez,customer_17@example.com,2023-09-30,Spain,Barcelona,Other,25-34,Churn Risk
18,Alex,Martinez,Alex Martinez,customer_18@example.com,2022-07-01,Colombia,Barranquilla,Female,45-54,VIP
19,Morgan,Martinez,Morgan Martinez,customer_19@example.com,2023-10-26,Brazil,São Paulo,Male,45-54,New
20,Pat,Lopez,Pat Lopez,customer_20@example.com,2022-08-08,Brazil,Rio de Janeiro,Other,35-44,Churn Risk
22,Jamie,Johnson,Jamie Johnson,customer_22@example.com,2023-02-04,Brazil,Rio de Janeiro,Female,25-34,New
23,Taylor,Smith,Taylor Smith,customer_23@example.com,2022-08-16,Spain,Barcelona,Other,45-54,Active
25,Alex,Brown,Alex Brown,customer_25@example.com,2022-07-15,Mexico,Monterrey,Female,18-24,Churn Risk
26,Taylor,Miller,Taylor Miller,customer_26@example.com,2023-10-17,Mexico,Monterrey,Other,55+,Active
27,Alex,Brown,Alex Brown,customer_27@example.com,2022-11-10,Mexico,Guadalajara,Male,25-34,New
28,Chris,Brown,Chris Brown,customer_28@example.com,2022-11-01,USA,Los Angeles,Other,35-44,New
29,Jordan,Smith,Jordan Smith,customer_29@example.com,2022-06-10,Spain,Madrid,Female,55+,VIP
32,Morgan,Lopez,Morgan Lopez,customer_32@example.com,2022-10-16,Mexico,CDMX,Male,55+,New
33,Sam,Smith,Sam Smith,customer_33@example.com,2023-02-27,Mexico,Guadalajara,Female,18-24,New
34,Pat,Lopez,Pat Lopez,customer_34@example.com,2023-09-02,Mexico,Guadalajara,Male,25-34,New
35,Pat,Miller,Pat Miller,customer_35@example.com,2022-02-26,Spain,Barcelona,Female,25-34,Active
36,Morgan,Lopez,Morgan Lopez,customer_36@example.com,2023-08-11,USA,New York,Other,45-54,Churn Risk
37,Jamie,Garcia,Jamie Garcia,customer_37@example.com,2023-07-15,Mexico,Monterrey,Other,55+,VIP
38,Taylor,Lopez,Taylor Lopez,customer_38@example.com,2022-08-02,Mexico,Monterrey,Other,55+,Churn Risk
39,Sam,Brown,Sam Brown,customer_39@example.com,2023-11-11,Brazil,Rio de Janeiro,Female,45-54,Active
40,Chris,Smith,Chris Smith,customer_40@example.com,2022-09-11,Colombia,Cali,Other,45-54,New
41,Pat,Davis,Pat Davis,customer_41@example.com,2023-03-12,Mexico,Monterrey,Other,18-24,Churn Risk
42,Sam,Brown,Sam Brown,customer_42@example.com,2022-11-03,Mexico,Monterrey,Other,45-54,Active
43,Taylor,Brown,Taylor Brown,customer_43@example.com,2023-08-20,Brazil,São Paulo,Other,18-24,Churn Risk
44,Taylor,Martinez,Taylor Martinez,customer_44@example.com,2023-03-30,Mexico,Guadalajara,Female,35-44,New
46,Chris,Garcia,Chris Garcia,customer_46@example.com,2022-02-09,USA,Los Angeles,Female,18-24,VIP
