lead_id,ad_id,lead_date,lead_source,utm_medium,utm_campaign,email,phone,is_mql,converted_to_customer,became_buyer,order_id,customer_id,funnel_stage
1,610,2023-04-28,Facebook,referral,Campaign_37,user_1@example.com,300-9993123,0,0,0,,,Raw Lead
2,650,2023-01-21,Google,referral,Campaign_52,user_2@example.com,300-9927493,0,0,0,,,Raw Lead
3,469,2023-04-12,TikTok,paid_social,Campaign_15,user_3@example.com,300-4676869,1,1,1,423,20.0,Customer (Buyer)
4,15,2023-03-13,Google,paid_search,Campaign_19,user_4@example.com,300-3310428,0,0,0,,,Raw Lead
5,408,2023-03-28,Instagram,email,Campaign_29,user_5@example.com,300-5353313,0,0,0,,,Raw Lead
6,238,2023-02-08,Email,paid_search,Campaign_49,user_6@example.com,300-2377570,0,0,0,,,Raw Lead
7,185,2023-01-12,Google,email,Campaign_26,user_7@example.com,300-9322197,0,0,0,,,Raw Lead
8,197,2023-06-06,Facebook,paid_social,Campaign_26,user_8@example.com,300-7705583,1,1,1,937,717.0,Customer (Buyer)
9,75,2023-04-24,Facebook,referral,Campaign_47,user_9@example.com,300-5458189,0,0,0,,,Raw Lead
10,3,2023-05-20,Facebook,referral,Campaign_7,user_10@example.com,300-5657164,0,0,0,,,Raw Lead
11,462,2023-04-10,Email,referral,Campaign_5,user_11@example.com,300-9994859,0,0,0,,,Raw Lead
12,199,2023-06-14,Google,paid_search,Campaign_48,user_12@example.com,300-6010776,1,0,0,,,MQL
13,451,2023-05-17,Instagram,paid_social,Campaign_16,user_13@example.com,300-6627903,1,0,0,,,MQL
14,58,2023-02-01,Google,email,Campaign_33,user_14@example.com,300-9768669,0,0,0,,,Raw Lead
15,259,2023-01-16,TikTok,paid_social,Campaign_6,user_15@example.com,300-9579918,1,1,1,1849,537.0,Customer (Buyer)
16,680,2023-03-16,Google,email,Campaign_22,user_16@example.com,300-9815829,0,0,0,,,Raw Lead
17,118,2023-06-09,TikTok,paid_social,Campaign_16,user_17@example.com,300-1530880,1,0,0,,,MQL
18,508,2023-04-12,TikTok,email,Campaign_31,user_18@example.com,300-8399925,0,0,0,,,Raw Lead
19,96,2023-02-21,Email,referral,Campaign_28,user_19@example.com,300-7768226,1,0,0,,,MQL
20,60,2023-01-04,Instagram,paid_social,Campaign_8,user_20@example.com,300-9028869,1,1,0,,,Customer (No Purchase Yet)
21,369,2023-04-11,Facebook,referral,Campaign_57,user_21@example.com,300-2404287,0,0,0,,,Raw Lead
22,588,2023-05-16,Google,email,Campaign_38,user_22@example.com,300-6362782,0,0,0,,,Raw Lead
23,665,2023-05-17,Email,paid_social,Campaign_3,user_23@example.com,300-3361361,1,0,0,,,MQL
24,641,2023-06-28,TikTok,paid_search,Campaign_58,user_24@example.com,300-6437631,1,0,0,,,MQL
25,544,2023-02-26,Google,referral,Campaign_53,user_25@example.com,300-6500542,0,0,0,,,Raw Lead
26,395,2023-01-07,Instagram,email,Campaign_15,user_26@example.com,300-3402742,1,0,0,,,MQL
27,636,2023-02-23,Instagram,paid_social,Campaign_22,user_27@example.com,300-6170423,0,0,0,,,Raw Lead
28,444,2023-05-18,Instagram,email,Campaign_54,user_28@example.com,300-7050767,1,1,1,1730,27.0,Customer (Buyer)
29,166,2023-06-11,Email,referral,Campaign_32,user_29@example.com,300-7513841,1,0,0,,,MQL
30,548,2023-05-02,Instagram,referral,Campaign_33,user_30@example.com,300-1928287,1,0,0,,,MQL
31,353,2023-06-27,Google,paid_search,Campaign_29,user_31@example.com,300-2978759,0,0,0,,,Raw Lead
32,275,2023-01-15,Instagram,email,Campaign_43,user_32@example.com,300-1389751,1,0,0,,,MQL
33,519,2023-03-04,Email,referral,Campaign_41,user_33@example.com,300-5802198,1,0,0,,,MQL
34,43,2023-03-13,TikTok,email,Campaign_15,user_34@example.com,300-9976723,0,0,0,,,Raw Lead
35,96,2023-01-18,Email,paid_social,Campaign_51,user_35@example.com,300-7601686,1,0,0,,,MQL
36,553,2023-04-17,Facebook,paid_social,Campaign_43,user_36@example.com,300-1756624,1,0,0,,,MQL
37,556,2023-04-22,Facebook,referral,Campaign_42,user_37@example.com,300-5931498,0,0,0,,,Raw Lead
38,240,2023-01-15,Instagram,referral,Campaign_28,user_38@example.com,300-6408497,1,0,0,,,MQL
39,662,2023-05-25,TikTok,paid_search,Campaign_9,user_39@example.com,300-3411954,0,0,0,,,Raw Lead
40,191,2023-01-10,Google,referral,Campaign_37,user_40@example.com,300-3067683,0,0,0,,,Raw Lead
41,86,2023-03-19,Email,referral,Campaign_24,user_41@example.com,300-1184339,0,0,0,,,Raw Lead
42,356,2023-06-14,Email,paid_social,Campaign_7,user_42@example.com,300-7067084,0,0,0,,,Raw Lead
43,542,2023-01-05,Google,paid_search,Campaign_12,user_43@example.com,300-8285463,1,0,0,,,MQL
44,385,2023-06-12,Email,referral,Campaign_24,user_44@example.com,300-6431489,0,0,0,,,Raw Lead
45,248,2023-06-04,Facebook,paid_search,Campaign_60,user_45@example.com,300-7524064,1,0,0,,,MQL
46,3,2023-03-10,Email,email,Campaign_19,user_46@example.com,300-4241067,0,0,0,,,Raw Lead
47,396,2023-02-07,Google,referral,Campaign_43,user_47@example.com,300-4750533,1,1,1,914,476.0,Customer (Buyer)
48,593,2023-06-13,Instagram,paid_search,Campaign_45,user_48@example.com,300-5176414,1,0,0,,,MQL
49,327,2023-04-04,Email,paid_social,Campaign_13,user_49@example.com,300-7493123,0,0,0,,,Raw Lead
50,62,2023-06-05,Facebook,email,Campaign_44,user_50@example.com,300-8115934,1,1,0,,,Customer (No Purchase Yet)
51,137,2023-02-26,TikTok,email,Campaign_26,user_51@example.com,300-7660892,0,0,0,,,Raw Lead
52,661,2023-04-12,Instagram,email,Campaign_3,user_52@example.com,300-1598448,1,1,1,904,461.0,Customer (Buyer)
53,284,2023-01-29,Facebook,paid_social,Campaign_9,user_53@example.com,300-9016961,1,0,0,,,MQL
54,332,2023-03-27,Instagram,referral,Campaign_38,user_54@example.com,300-5305306,1,0,0,,,MQL
55,151,2023-03-23,Email,referral,Campaign_1,user_55@example.com,300-6920021,1,1,1,980,704.0,Customer (Buyer)
56,173,2023-03-10,TikTok,referral,Campaign_30,user_56@example.com,300-6435155,0,0,0,,,Raw Lead
57,588,2023-01-25,Google,email,Campaign_7,user_57@example.com,300-1344534,1,0,0,,,MQL
58,357,2023-03-21,Facebook,paid_search,Campaign_17,user_58@example.com,300-6245112,0,0,0,,,Raw Lead
59,144,2023-05-01,Facebook,paid_social,Campaign_58,user_59@example.com,300-4054947,0,0,0,,,Raw Lead
60,309,2023-01-22,Email,email,Campaign_53,user_60@example.com,300-8413553,1,0,0,,,MQL
61,105,2023-05-06,Email,paid_search,Campaign_30,user_61@example.com,300-2331335,0,0,0,,,Raw Lead
62,146,2023-04-29,Instagram,paid_social,Campaign_44,user_62@example.com,300-5743159,0,0,0,,,Raw Lead
63,636,2023-02-03,Facebook,paid_social,Campaign_10,user_63@example.com,300-5807718,0,0,0,,,Raw Lead
64,226,2023-04-03,TikTok,email,Campaign_11,user_64@example.com,300-3555060,0,0,0,,,Raw Lead
65,535,2023-02-16,TikTok,paid_social,Campaign_49,user_65@example.com,300-4375408,1,0,0,,,MQL
66,380,2023-04-21,Google,email,Campaign_28,user_66@example.com,300-3924721,0,0,0,,,Raw Lead
67,646,2023-05-30,Facebook,paid_search,Campaign_31,user_67@example.com,300-8740014,0,0,0,,,Raw Lead
68,295,2023-01-09,Instagram,referral,Campaign_55,user_68@example.com,300-2359761,0,0,0,,,Raw Lead
69,139,2023-03-08,Facebook,paid_social,Campaign_60,user_69@example.com,300-3331622,0,0,0,,,Raw Lead
70,538,2023-02-06,TikTok,email,Campaign_27,user_70@example.com,300-3926989,1,0,0,,,MQL
71,659,2023-06-27,Instagram,paid_social,Campaign_41,user_71@example.com,300-1893346,1,0,0,,,MQL
72,58,2023-02-24,Facebook,paid_social,Campaign_7,user_72@example.com,300-2818808,1,1,0,,,Customer (No Purchase Yet)
73,352,2023-06-06,Google,paid_social,Campaign_11,user_73@example.com,300-6067710,1,1,0,,,Customer (No Purchase Yet)
74,397,2023-01-21,Email,paid_social,Campaign_18,user_74@example.com,300-2481885,0,0,0,,,Raw Lead
75,3,2023-04-13,TikTok,paid_social,Campaign_30,user_75@example.com,300-1497449,0,0,0,,,Raw Lead
76,529,2023-04-05,Instagram,email,Campaign_7,user_76@example.com,300-1574796,1,1,0,,,Customer (No Purchase Yet)
77,653,2023-01-23,Email,paid_social,Campaign_47,user_77@example.com,300-6696466,0,0,0,,,Raw Lead
78,31,2023-03-14,Google,email,Campaign_47,user_78@example.com,300-7202335,0,0,0,,,Raw Lead
79,622,2023-06-04,Instagram,paid_search,Campaign_52,user_79@example.com,300-6521282,1,0,0,,,MQL
80,167,2023-01-06,TikTok,email,Campaign_55,user_80@example.com,300-2683569,1,0,0,,,MQL
81,86,2023-05-25,Google,paid_social,Campaign_55,user_81@example.com,300-4653030,0,0,0,,,Raw Lead
82,681,2023-06-02,Facebook,paid_search,Campaign_44,user_82@example.com,300-1021540,1,0,0,,,MQL
83,113,2023-04-25,Email,email,Campaign_23,user_83@example.com,300-2110193,0,0,0,,,Raw Lead
